year,actor1_country_code,actor2_country_code,event_count,num_mentions
2001-01-01,TUR,RUS,1,1
2001-01-01,DEU,PRK,5,29
2001-01-01,GRC,USA,1,6
2001-01-01,IND,BGD,1,2
2001-01-01,POL,WST,2,41
2001-01-01,GBR,MKD,5,17
2001-01-01,BGD,IDN,2,5
2001-01-01,AFG,KAZ,1,4
2001-01-01,IRN,AFG,38,146
2001-01-01,RUS,TUR,4,16
2001-01-01,IRL,AFG,1,6
2001-01-01,NAM,ZWE,2,21
2001-01-01,CHE,NLD,2,2
2001-01-01,VNM,CHN,1,3
2001-01-01,NZL,USA,4,77
2001-01-01,SDN,USA,1,10
2001-01-01,DEU,MOZ,3,14
2001-01-01,TUR,ISR,4,14
2001-01-01,SOM,SDN,3,14
2001-01-01,EUR,MMR,1,18
2001-01-01,GBR,VEN,3,9
2001-01-01,UZB,UKR,1,18
2001-01-01,SOM,TZA,2,7
2001-01-01,ISR,PSE,2,8
2001-01-01,BGR,DEU,1,2
2001-01-01,PRK,LBY,3,5
2001-01-01,NLD,VEN,10,45
2001-01-01,CAN,AFG,2,8
2001-01-01,TUR,IND,4,12
2001-01-01,MEX,FRA,1,5
2001-01-01,EUR,KHM,1,6
2001-01-01,ESP,VEN,8,45
2001-01-01,RUS,TJK,3,8
2001-01-01,COG,COD,2,5
2001-01-01,USA,CHN,1,4
2001-01-01,ESP,USA,2,8
2001-01-01,OMN,SAU,1,2
2001-01-01,VNM,IRQ,5,29
2001-01-01,DZA,FRA,1,12
2001-01-01,ITA,EUR,2,3
2001-01-01,MLI,BFA,1,3
2001-01-01,KWT,GHA,4,9
2001-01-01,FIN,AFG,2,2
2001-01-01,PHL,GBR,8,35
2001-01-01,JPN,ISR,1,3
2001-01-01,AFG,DEU,1,9
2001-01-01,SDN,ETH,3,7
2001-01-01,TUR,VEN,8,45
2001-01-01,USA,NZL,1,1
2001-01-01,UGA,COD,3,16
2001-01-01,EUR,COL,1,2
2001-01-01,EUR,LKA,1,6
2001-01-01,FRA,TZA,1,4
2001-01-01,KOR,RUS,1,4
2001-01-01,DEU,AFG,4,18
2001-01-01,ISR,UKR,2,20
2001-01-01,IND,AFG,2,5
2001-01-01,NAM,AGO,6,14
2001-01-01,KAZ,BLR,2,4
2001-01-01,PRK,KOR,3,6
2001-01-01,TKM,AFG,5,29
2001-01-01,USA,ITA,2,4
2001-01-01,GRC,PHL,12,31
2001-01-01,PSE,PAK,2,6
2001-01-01,JPN,PHL,2,9
2001-01-01,ZWE,COG,1,1
2001-01-01,RUS,JPN,3,7
2001-01-01,GBR,CHN,2,3
2001-01-01,UZB,AFG,9,60
2001-01-01,DNK,RUS,1,4
2001-01-01,ETH,SDN,4,14
2001-01-01,BHR,USA,4,27
2001-01-01,USA,SDN,1,2
2001-01-01,LBY,PAK,2,7
2001-01-01,PRT,AFG,2,9
2001-01-01,COD,TZA,1,2
2001-01-01,RUS,NOR,4,17
2001-01-01,NZL,TMP,2,10
2001-01-01,COD,AGO,9,32
2001-01-01,KAZ,KGZ,1,6
2001-01-01,USA,IDN,2,6
2001-01-01,AUS,NZL,1,6
2001-01-01,KGZ,AFG,9,46
2001-01-01,USA,PAK,5,16
2001-01-01,AFG,JPN,1,1
2001-01-01,SAU,PAK,3,14
2001-01-01,SWE,ZMB,2,7
2001-01-01,SEA,CHN,1,2
2001-01-01,ISR,MNG,1,4
2001-01-01,NRU,NOR,4,15
2001-01-01,JPN,RUS,5,16
2001-01-01,AUT,ITA,1,6
2001-01-01,KOR,PRK,11,41
2001-01-01,ISR,NOR,2,4
2001-01-01,ARM,CHN,3,6
2001-01-01,AUS,IRL,1,6
2001-01-01,UGA,SDN,7,30
2001-01-01,SWE,AFG,7,24
2001-01-01,KOR,USA,2,8
2001-01-01,PRK,JPN,1,36
2001-01-01,FRA,GBR,7,49
2001-01-01,HUN,UKR,2,2
2001-01-01,DEU,PAK,2,4
2001-01-01,UKR,AFG,5,22
2001-01-01,NOR,USA,4,6
2001-01-01,CHN,DEU,2,9
2001-01-01,PAK,USA,3,12
2001-01-01,CAN,DNK,1,6
2001-01-01,MNG,KOR,1,4
2001-01-01,NLD,DNK,2,9
2001-01-01,AUT,AFG,2,10
2001-01-01,USA,SEA,3,10
2001-01-01,CHE,USA,2,6
2001-01-01,BEL,BDI,1,18
2001-01-01,FRA,TJK,3,6
2001-01-01,AGO,COD,1,1
2001-01-01,KWT,SAU,1,9
2001-01-01,SDN,KEN,1,1
2001-01-01,USA,MEX,2,9
2001-01-01,RWA,TZA,4,11
2001-01-01,AFR,ZWE,4,10
2001-01-01,ZAF,FRA,1,1
2001-01-01,PRT,MOZ,1,7
2001-01-01,COG,RWA,3,9
2001-01-01,FRA,AFG,2,12
2001-01-01,SDN,ERI,2,6
2001-01-01,EUR,USA,1,8
2001-01-01,KOR,AFG,4,16
2001-01-01,PAK,PSE,1,14
2001-01-01,FRA,ARM,2,6
2001-01-01,AFR,ZMB,1,2
2001-01-01,JOR,AFG,8,26
2001-01-01,RUS,GBR,4,37
2001-01-01,TUR,AFG,6,23
2001-01-01,SLE,GIN,1,4
2001-01-01,PHL,SEA,7,24
2001-01-01,DNK,EUR,1,4
2001-01-01,AGO,NLD,2,9
2001-01-01,IRQ,IDN,1,2
2001-01-01,AFG,NOR,4,15
2001-01-01,AFG,EUR,1,2
