year,action_country_code,event_count,total_num_mentions
2002-01-01,FR,8378,34939
2002-01-01,GA,604,2238
2002-01-01,GB,65,319
2002-01-01,GG,1577,7832
2002-01-01,GH,1452,5336
2002-01-01,GI,77,325
2002-01-01,GJ,127,441
2002-01-01,GK,2,6
2002-01-01,GL,18,93
2002-01-01,GM,4973,20326
2002-01-01,GQ,25,119
2002-01-01,GR,1672,6517
2002-01-01,GT,482,1888
2002-01-01,GV,350,1501
2002-01-01,GY,263,1306
2002-01-01,GZ,5344,22433
2002-01-01,HA,1668,6439
2002-01-01,HK,965,5126
2002-01-01,HO,226,752
2002-01-01,HR,2650,10491
2002-01-01,HU,625,3092
2002-01-01,IC,43,170
2002-01-01,ID,12013,56569
2002-01-01,IM,1,6
2002-01-01,IN,16866,89601
2002-01-01,IR,7974,38317
2002-01-01,IS,56773,303113
2002-01-01,IT,4575,19050
2002-01-01,IV,3149,15364
2002-01-01,IZ,9074,44031
2002-01-01,JA,5481,24238
2002-01-01,JE,14,43
2002-01-01,JM,424,1579
2002-01-01,JO,2078,9605
2002-01-01,KE,8721,37308
2002-01-01,KG,1469,7266
2002-01-01,KN,2449,11625
2002-01-01,KR,9,47
2002-01-01,KS,2445,12958
2002-01-01,KT,5,22
2002-01-01,KU,1616,6623
2002-01-01,KV,265,823
2002-01-01,KZ,1266,6276
2002-01-01,LA,135,556
2002-01-01,LE,3583,13607
2002-01-01,LG,349,1907
2002-01-01,LH,345,1758
2002-01-01,LI,3174,14005
2002-01-01,LO,561,2723
2002-01-01,LS,11,20
2002-01-01,LT,182,869
2002-01-01,LU,73,326
2002-01-01,LY,937,3530
2002-01-01,MA,810,5101
2002-01-01,MB,9,28
2002-01-01,MC,34,157
2002-01-01,MD,378,2136
2002-01-01,MF,1,1
2002-01-01,MG,69,349
2002-01-01,MH,19,75
2002-01-01,MI,514,2383
2002-01-01,MJ,174,775
2002-01-01,MK,1819,6896
2002-01-01,ML,200,753
2002-01-01,MN,28,103
2002-01-01,MO,1228,5050
2002-01-01,MP,30,163
2002-01-01,MR,84,495
2002-01-01,MT,96,288
2002-01-01,MU,83,279
2002-01-01,MV,76,221
2002-01-01,MX,2588,9705
2002-01-01,MY,3093,13536
2002-01-01,MZ,1059,4068
2002-01-01,NC,42,330
2002-01-01,NE,3,11
2002-01-01,NF,4,18
2002-01-01,NG,426,2225
2002-01-01,NH,69,543
2002-01-01,NI,14999,63765
2002-01-01,NL,2255,8747
2002-01-01,NO,738,3150
2002-01-01,NP,5418,37141
2002-01-01,NR,30,146
2002-01-01,NS,77,289
2002-01-01,NT,19,72
2002-01-01,NU,199,733
2002-01-01,NZ,497,2051
2002-01-01,OC,169,645
2002-01-01,OD,10,33
2002-01-01,OS,376,1817
2002-01-01,PA,180,806
2002-01-01,PE,884,3896
2002-01-01,PK,25192,117217
2002-01-01,PL,1185,5046
2002-01-01,PM,183,667
2002-01-01,PO,704,2836
2002-01-01,PP,347,1851
2002-01-01,PS,10,58
2002-01-01,PU,87,284
2002-01-01,QA,333,1081
2002-01-01,RB,3806,14934
2002-01-01,RE,6,29
2002-01-01,RI,824,3194
2002-01-01,RM,17,57
2002-01-01,RN,1,3
2002-01-01,RO,773,3102
2002-01-01,RP,11405,47654
2002-01-01,RQ,118,539
2002-01-01,RS,26387,122301
2002-01-01,RW,3069,12883
2002-01-01,SA,3128,11873
2002-01-01,SB,1,4
2002-01-01,SE,156,547
2002-01-01,SF,8576,30250
2002-01-01,SG,390,1595
2002-01-01,SI,179,817
2002-01-01,SL,1157,5321
2002-01-01,SN,1416,6438
2002-01-01,SO,2866,13149
2002-01-01,SP,3520,15458
2002-01-01,ST,9,40
2002-01-01,SU,3532,15589
2002-01-01,SV,1,7
2002-01-01,SW,1027,4091
2002-01-01,SY,1348,4954
2002-01-01,SZ,1284,5262
2002-01-01,TD,270,1027
2002-01-01,TH,3190,14477
2002-01-01,TI,1481,6991
2002-01-01,TN,48,312
2002-01-01,TO,297,1362
2002-01-01,TP,18,67
2002-01-01,TS,805,3200
2002-01-01,TT,817,3096
2002-01-01,TU,4935,20933
2002-01-01,TV,1,2
2002-01-01,TW,1165,6137
2002-01-01,TX,525,2246
2002-01-01,TZ,1056,4177
2002-01-01,UG,9764,42869
2002-01-01,UK,13230,51051
2002-01-01,UP,2341,11455
2002-01-01,US,51887,199690
2002-01-01,UV,313,1285
2002-01-01,UY,98,406
2002-01-01,UZ,1299,5877
2002-01-01,VC,17,87
2002-01-01,VE,1624,7734
2002-01-01,VI,14,42
2002-01-01,VM,1890,8084
2002-01-01,VQ,11,39
2002-01-01,VT,29,160
2002-01-01,WA,1492,4885
2002-01-01,WE,13182,51881
2002-01-01,WI,25,126
2002-01-01,WQ,2,10
2002-01-01,WS,82,403
2002-01-01,WZ,306,1163
2002-01-01,YI,325,1212
2002-01-01,YM,2054,8793
2002-01-01,ZA,2033,7879
2002-01-01,ZI,8465,37899
2003-01-01,AA,2,14
2003-01-01,AC,62,237
2003-01-01,AE,514,2112
2003-01-01,AF,23822,127265
2003-01-01,AG,3127,15424
2003-01-01,AJ,2054,12465
2003-01-01,AL,2295,9410
2003-01-01,AM,1053,6078
2003-01-01,AO,806,3327
2003-01-01,AQ,14,99
2003-01-01,AR,1638,6874
2003-01-01,AS,4520,21464
2003-01-01,AU,587,2557
2003-01-01,AV,2,36
2003-01-01,AY,2,25
2003-01-01,BA,296,1423
2003-01-01,BB,83,302
2003-01-01,BC,351,1624
2003-01-01,BD,89,294
2003-01-01,BE,1526,6854
2003-01-01,BF,63,304
2003-01-01,BG,2973,15552
2003-01-01,BH,29,140
2003-01-01,BK,1913,8828
2003-01-01,BL,819,4631
2003-01-01,BM,1986,10216
2003-01-01,BN,270,1206
2003-01-01,BO,761,4696
2003-01-01,BP,491,3061
2003-01-01,BR,1977,9422
2003-01-01,BT,391,2663
2003-01-01,BU,983,4510
2003-01-01,BX,61,253
2003-01-01,BY,3230,18771
2003-01-01,CA,3394,14143
2003-01-01,CB,1976,9916
2003-01-01,CD,508,2567
2003-01-01,CE,1869,10393
2003-01-01,CF,293,1288
2003-01-01,CG,1619,7255
2003-01-01,CH,10414,60503
2003-01-01,CI,820,3349
2003-01-01,CJ,16,54
2003-01-01,CM,309,1458
2003-01-01,CN,126,539
2003-01-01,CO,7140,34874
2003-01-01,CQ,1015,4804
2003-01-01,CS,151,554
2003-01-01,CT,608,2897
2003-01-01,CU,2744,13616
2003-01-01,CV,16,36
2003-01-01,CW,2,9
2003-01-01,CY,581,2717
2003-01-01,DA,938,4090
2003-01-01,DJ,244,1034
2003-01-01,DO,41,178
2003-01-01,DR,254,1111
2003-01-01,EC,335,1597
2003-01-01,EG,4286,18453
2003-01-01,EI,1161,4936
2003-01-01,EK,91,433
2003-01-01,EN,218,1282
2003-01-01,ER,487,2520
2003-01-01,ES,279,1056
2003-01-01,ET,1240,7274
2003-01-01,EZ,1511,8055
2003-01-01,FI,328,1450
2003-01-01,FJ,332,2346
2003-01-01,FM,243,1344
2003-01-01,FO,4,26
2003-01-01,FP,11,36
2003-01-01,FR,10115,46361
2003-01-01,GA,360,1445
2003-01-01,GB,83,385
2003-01-01,GG,1165,6799
2003-01-01,GH,1777,7517
2003-01-01,GI,72,355
2003-01-01,GJ,118,501
2003-01-01,GL,9,56
2003-01-01,GM,6025,27355
2003-01-01,GP,7,24
2003-01-01,GQ,61,469
2003-01-01,GR,2075,9256
2003-01-01,GT,745,3597
2003-01-01,GV,289,1292
2003-01-01,GY,370,1633
2003-01-01,GZ,4440,19870
2003-01-01,HA,1826,8455
2003-01-01,HK,843,5653
2003-01-01,HO,341,1584
2003-01-01,HR,2849,12376
2003-01-01,HU,647,3487
2003-01-01,IC,39,208
2003-01-01,ID,16593,88131
2003-01-01,IN,14674,82347
2003-01-01,IO,3,10
2003-01-01,IR,11833,60412
2003-01-01,IS,43385,251123
2003-01-01,IT,4486,21803
2003-01-01,IV,2881,14489
2003-01-01,IZ,59826,353171
2003-01-01,JA,7492,39597
2003-01-01,JE,18,53
2003-01-01,JM,688,2906
2003-01-01,JO,2861,13019
2003-01-01,KE,7515,35846
2003-01-01,KG,856,4653
2003-01-01,KN,3104,18144
2003-01-01,KR,28,156
2003-01-01,KS,3312,19980
2003-01-01,KT,4,20
2003-01-01,KU,2672,13851
2003-01-01,KV,366,1254
2003-01-01,KZ,1045,5734
2003-01-01,LA,810,3871
2003-01-01,LE,3058,13013
2003-01-01,LG,284,1618
2003-01-01,LH,331,1804
2003-01-01,LI,5273,31463
2003-01-01,LO,556,3279
2003-01-01,LS,10,57
2003-01-01,LT,189,933
2003-01-01,LU,45,264
2003-01-01,LY,1240,5859
2003-01-01,MA,280,1584
2003-01-01,MB,9,29
2003-01-01,MC,48,214
2003-01-01,MD,391,1973
2003-01-01,MF,1,3
2003-01-01,MG,54,383
2003-01-01,MH,12,60
2003-01-01,MI,570,3117
2003-01-01,MJ,354,1555
2003-01-01,MK,1293,5633
2003-01-01,ML,281,1236
2003-01-01,MN,46,203
2003-01-01,MO,2996,15911
2003-01-01,MP,69,264
2003-01-01,MR,373,2493
2003-01-01,MT,43,213
2003-01-01,MU,112,404
2003-01-01,MV,66,357
2003-01-01,MX,3025,13096
2003-01-01,MY,2944,14595
2003-01-01,MZ,1431,5330
2003-01-01,NC,29,234
2003-01-01,NE,3,35
2003-01-01,NG,289,1445
2003-01-01,NH,22,177
2003-01-01,NI,15233,69042
2003-01-01,NL,2176,9739
2003-01-01,NO,941,4660
2003-01-01,NP,3809,30509
2003-01-01,NR,28,207
2003-01-01,NS,76,274
2003-01-01,NT,22,63
2003-01-01,NU,254,1020
2003-01-01,NZ,613,2614
2003-01-01,OC,189,874
2003-01-01,OD,2,10
2003-01-01,OS,281,1163
2003-01-01,PA,230,1047
2003-01-01,PC,1,2
2003-01-01,PE,1696,8742
2003-01-01,PK,21987,110012
2003-01-01,PL,1781,8662
2003-01-01,PM,202,780
2003-01-01,PO,995,4745
2003-01-01,PP,376,2328
2003-01-01,PS,43,412
2003-01-01,PU,266,1123
2003-01-01,QA,733,3152
2003-01-01,RB,5477,25954
2003-01-01,RE,12,36
2003-01-01,RI,2452,9796
2003-01-01,RM,18,164
2003-01-01,RN,1,2
2003-01-01,RO,860,3865
2003-01-01,RP,12682,65147
2003-01-01,RQ,186,800
2003-01-01,RS,25618,130036
2003-01-01,RW,2495,11817
2003-01-01,SA,7494,39228
2003-01-01,SE,182,854
2003-01-01,SF,6527,24245
2003-01-01,SG,281,1276
2003-01-01,SH,3,5
2003-01-01,SI,246,1373
2003-01-01,SL,1364,7000
2003-01-01,SM,4,22
2003-01-01,SN,1148,5876
2003-01-01,SO,1749,9049
2003-01-01,SP,4753,22471
2003-01-01,ST,25,145
2003-01-01,SU,2639,13205
2003-01-01,SW,1498,6987
2003-01-01,SY,2918,12355
2003-01-01,SZ,1252,5776
2003-01-01,TD,630,2505
2003-01-01,TH,4041,21102
2003-01-01,TI,1605,8555
2003-01-01,TK,3,15
2003-01-01,TN,125,1030
2003-01-01,TO,315,1272
2003-01-01,TP,83,467
2003-01-01,TS,452,1834
2003-01-01,TT,614,2847
2003-01-01,TU,7823,38663
2003-01-01,TV,2,6
2003-01-01,TW,2320,14606
2003-01-01,TX,679,3299
2003-01-01,TZ,1092,5027
